category,pattern,message
INCOME_CLAIM,"earn[a-z\s]*rm","Contains an income earnings claim"
INCOME_CLAIM,"made rm","Contains an income earnings claim"
INCOME_CLAIM,"passive income","Contains passive income language"
INCOME_CLAIM,"financial freedom","Contains financial freedom language"
INCOME_CLAIM,"quit your job","Contains income opportunity language"
INCOME_CLAIM,"full.time income","Contains income opportunity language"
INCOME_CLAIM,"extra income","Contains income opportunity language"
HEALTH_CLAIM,"cured","Contains a medical cure claim"
HEALTH_CLAIM,"treats diabetes","Contains a disease treatment claim"
HEALTH_CLAIM,"lowers blood pressure","Contains an unapproved health claim"
HEALTH_CLAIM,"prevents cancer","Contains a disease prevention claim"
HEALTH_CLAIM,"heals","Contains a healing claim"
WEIGHT_CLAIM,"lost \d+\s*kg","Contains a specific weight loss claim"
WEIGHT_CLAIM,"dropped \d+\s*kg","Contains a specific weight loss claim"
WEIGHT_CLAIM,"lost \d+\s*pound","Contains a specific weight loss claim"
OPPORTUNITY_CLAIM,"join my team","Contains direct recruitment language"
OPPORTUNITY_CLAIM,"be your own boss","Contains income opportunity language"
OPPORTUNITY_CLAIM,"work from home and earn","Contains income opportunity language"
